layer,head,flat_idx,emotion,f1_drop,baseline_f1
10,9,129,disappointment,0.01661129568106312,0.3023255813953488
10,9,129,disapproval,-0.007459505541346889,0.5072463768115942
10,9,129,disgust,0.00809984296222821,0.5585585585585585
10,9,129,embarrassment,0.0,0.32
10,9,129,excitement,0.0,0.45
10,9,129,fear,0.0,0.6511627906976745
10,9,129,gratitude,-0.005390835579514808,0.9326145552560647
10,9,129,joy,0.0,0.6666666666666666
10,9,129,love,-0.0001482689598931719,0.8083623693379791
10,9,129,optimism,0.0031818181818182856,0.56
10,9,129,realization,0.012987012987012991,0.2857142857142857
10,9,129,remorse,-0.009657594381035972,0.6470588235294118
10,9,129,sadness,0.006163828061638288,0.583941605839416
10,9,129,surprise,0.004264392324093813,0.5714285714285714
10,10,130,admiration,0.001415962279339933,0.7476280834914611
10,10,130,amusement,0.0,0.8362369337979094
10,10,130,anger,-0.003139832055494729,0.5180722891566265
10,10,130,annoyance,0.016579259008628,0.45136186770428016
10,10,130,approval,-0.001796909315976536,0.5678233438485805
10,10,130,caring,0.0,0.55
10,10,130,confusion,0.0,0.5223880597014925
10,10,130,curiosity,-0.004593523636455488,0.7046263345195729
10,10,130,desire,0.0,0.6388888888888888
10,10,130,disappointment,0.0034750066827051174,0.3023255813953488
10,10,130,disapproval,-0.007678996322734166,0.5072463768115942
10,10,130,disgust,0.0,0.5585585585585585
10,10,130,embarrassment,0.07,0.32
10,10,130,excitement,0.0,0.45
10,10,130,fear,0.0,0.6511627906976745
10,10,130,gratitude,0.0,0.9326145552560647
10,10,130,joy,0.0,0.6666666666666666
10,10,130,love,0.00836236933797907,0.8083623693379791
10,10,130,optimism,0.011428571428571455,0.56
10,10,130,realization,0.012987012987012991,0.2857142857142857
10,10,130,remorse,0.0,0.6470588235294118
10,10,130,sadness,0.004231460911879759,0.583941605839416
10,10,130,surprise,0.0,0.5714285714285714
10,11,131,admiration,0.004437422012861902,0.7476280834914611
10,11,131,amusement,-0.013078134695241217,0.8362369337979094
10,11,131,anger,0.005877167205406986,0.5180722891566265
10,11,131,annoyance,-0.023733917736332877,0.45136186770428016
10,11,131,approval,0.002743978769215394,0.5678233438485805
