head_a_layer,head_a_head,head_b_layer,head_b_head,correlation
0,3,10,5,0.7332063448396254
4,0,10,4,0.7331512453509481
5,3,7,7,0.7329986233128728
3,0,5,4,0.7328070027372974
1,10,8,3,0.7326424478016044
8,1,11,6,0.7324946364591935
7,7,7,9,0.731626276423499
0,4,5,6,0.7312344269865189
5,8,7,9,0.7311837916423459
4,4,5,4,0.7310205081488756
11,2,11,4,0.7302240613399259
0,6,4,1,0.7298139353645936
1,10,3,7,0.7291029841632003
4,8,7,9,0.7285915794170327
5,8,7,7,0.7285415930906279
6,2,10,3,0.7284018885378141
7,1,9,6,0.7284013854474284
4,8,7,10,0.7278753874814415
11,3,11,9,0.727333981779245
2,3,7,1,0.7265216917798386
4,8,5,4,0.7264071892746478
4,4,8,1,0.7259294188048258
2,3,6,1,0.7255143663358411
1,5,2,2,0.7254044783816109
5,8,9,11,0.7249753363896717
3,0,7,1,0.7249593867573445
0,6,1,10,0.7245333652858482
4,10,9,1,0.7243531009912587
9,11,10,7,0.7243320381554069
0,4,4,4,0.7242163445176469
6,2,10,11,0.723980254482403
1,10,5,3,0.7237268051286362
6,1,7,1,0.7230660660215542
5,2,7,1,0.7230126463062152
10,1,11,4,0.7226677087956402
7,0,10,6,0.7224225777512618
5,9,8,10,0.7222109000344851
9,0,10,1,0.722120624223539
0,11,2,8,0.7214446996634245
4,8,10,5,0.7210941651146878
7,7,7,10,0.7208280277274145
3,1,8,0,0.7205464731079757
7,10,10,11,0.7201705637816054
0,6,5,3,0.7196801593413982
5,8,8,6,0.718541255278825
7,4,9,1,0.7179195004760177
3,7,4,8,0.7177594917618341
0,6,8,6,0.7177260841901342
6,2,7,1,0.7174716368902484
8,1,11,10,0.7173884922483481
4,1,11,6,0.7172473069125672
7,1,8,2,0.7170240227785031
8,6,9,1,0.7167773992791588
8,3,9,6,0.7164506888204158
7,4,11,6,0.7155372778491181
4,1,11,10,0.7154877617907002
3,0,6,2,0.7149873326296482
2,4,4,9,0.7148328132392697
3,0,10,7,0.7148008382455069
7,9,10,3,0.714583256340618
1,7,8,5,0.7144611795990873
7,4,8,3,0.7142500301595537
7,9,9,11,0.7141408235183904
0,3,11,10,0.7138498540125199
5,6,6,2,0.7136706415177779
0,3,10,11,0.7129287348666403
5,1,8,1,0.7127899793063739
11,4,11,9,0.7119685261664397
3,2,7,8,0.7119213337748785
9,8,11,3,0.7117749001068221
9,1,10,7,0.7117366440154927
4,10,7,9,0.7106177661332346
7,4,10,5,0.7105782881450724
4,0,8,4,0.7105658096104538
5,2,9,11,0.7102181006857095
5,1,7,1,0.7098711463828894
7,9,9,1,0.7086376355851683
4,10,6,2,0.7079892715301677
5,2,7,7,0.7079487938758021
2,10,8,8,0.7079382788457477
9,11,10,2,0.7077879147956003
0,1,1,7,0.7073129410210724
4,4,9,6,0.7072813692257518
