rank_index,Query_mean,Query_std,Key_mean,Key_std,Value_mean,Value_std,Attn_Output_mean,Attn_Output_std,FFN_Inter_mean,FFN_Inter_std,FFN_Output_mean,FFN_Output_std
35,0.47742888,0.086285,0.42536548,0.051073935,0.69695526,0.04969598,0.66288185,0.047249768,0.28982577,0.03069983,0.4136528,0.072737634
36,0.4738085,0.085467435,0.42297044,0.050449394,0.6937713,0.05042373,0.6602819,0.047782548,0.2882061,0.030370869,0.4113798,0.07249863
37,0.47047785,0.08538636,0.42008376,0.049983982,0.68977624,0.050452664,0.6563852,0.049232416,0.28665563,0.030246174,0.40915132,0.07233115
38,0.46810874,0.08456041,0.4175848,0.049789973,0.68715876,0.051102966,0.6530313,0.04956012,0.2850521,0.030147916,0.4078978,0.07213073
39,0.4649128,0.084306374,0.41535798,0.04971457,0.6831265,0.051080134,0.65051204,0.049795397,0.28368172,0.030044686,0.4063783,0.07191596
40,0.4616251,0.08359104,0.4129602,0.04950514,0.6796747,0.05156335,0.6476063,0.05001482,0.28229362,0.029941581,0.4046372,0.07132564
41,0.4584304,0.08274449,0.41059053,0.04935225,0.6766625,0.052653562,0.64352566,0.050583925,0.28073016,0.029828263,0.40239993,0.07117414
42,0.4563243,0.0827893,0.4083333,0.048783157,0.6728399,0.05225713,0.64083785,0.051891323,0.27958107,0.029697645,0.40081534,0.0711497
43,0.45306143,0.08221572,0.4063823,0.048580337,0.6696939,0.053081334,0.6383801,0.052184317,0.2780366,0.02986678,0.39944658,0.07062015
44,0.4508884,0.08172323,0.4042053,0.048071254,0.6676777,0.0530075,0.6356506,0.05289834,0.2767186,0.029439267,0.39803013,0.070313185
45,0.44879225,0.081507646,0.40191746,0.04800278,0.6654301,0.052568357,0.63347346,0.053691458,0.27578655,0.029176557,0.3962786,0.07029251
46,0.44650877,0.080799215,0.3994492,0.04787934,0.6624591,0.053598102,0.6304781,0.05343851,0.27454945,0.029189562,0.39522278,0.07001457
47,0.4441936,0.080058955,0.3975998,0.047577694,0.65982276,0.053981476,0.6268555,0.054671235,0.27329332,0.029088158,0.39367568,0.069713585
48,0.44202697,0.080120735,0.39482176,0.046651356,0.6570467,0.0538218,0.6243133,0.05505191,0.2723364,0.028960606,0.39226437,0.06937761
49,0.43993613,0.07947648,0.3932759,0.046549305,0.6545434,0.053992882,0.6221965,0.055438966,0.27129087,0.028846797,0.3905743,0.06888358
50,0.4372288,0.07903147,0.39152956,0.046706107,0.6512342,0.05427211,0.61982304,0.055627216,0.27028975,0.028819373,0.389251,0.06902617
51,0.435686,0.0788949,0.38923252,0.04630092,0.64842296,0.054936007,0.61775166,0.055917215,0.26930827,0.028609896,0.38793364,0.06908331
52,0.43301293,0.07806969,0.38802636,0.04622655,0.6457725,0.054961625,0.61507684,0.05615762,0.26819113,0.02835994,0.3867557,0.06885518
53,0.4313331,0.07726552,0.38611007,0.045603164,0.64291126,0.05547952,0.6130229,0.05675779,0.26727888,0.02827539,0.38560843,0.06863794
54,0.4292585,0.07679956,0.38445833,0.04545935,0.63998145,0.055397123,0.6109485,0.057027794,0.26634768,0.028254207,0.3844488,0.06833971
55,0.42723835,0.07638943,0.3825098,0.045570686,0.6376924,0.05545322,0.60804415,0.05804398,0.2653878,0.028144943,0.3832995,0.06808722
56,0.42544237,0.07572716,0.38121644,0.04547181,0.6352138,0.055826146,0.6065173,0.058261972,0.2645113,0.027756957,0.38208866,0.06787853
57,0.42360345,0.075589105,0.3798487,0.04522347,0.63289946,0.056326326,0.6034548,0.05886833,0.26360282,0.027755562,0.38101733,0.06772904
58,0.42195413,0.07504208,0.3782203,0.044737037,0.6305173,0.056344185,0.60190445,0.058590624,0.26272997,0.027836733,0.3800794,0.06733243
59,0.41982403,0.07457064,0.37658823,0.04478127,0.62800646,0.056609776,0.59903246,0.06012332,0.26190087,0.027985295,0.3787004,0.06711234
